tau (s),gamma (Ohms)
1e-05,3.677597841345638e-24
1.0682522965015662e-05,1.7703756678779407e-23
1.1411629689808676e-05,8.283306939210893e-23
1.2190499622963571e-05,3.7668576055472926e-22
1.302252921773231e-05,1.6649138975988069e-21
1.3911346743101255e-05,7.152230132843172e-21
1.4860828105747498e-05,2.9862647501068695e-20
1.5875113751879782e-05,1.2118594730592047e-19
1.6958626722669173e-05,4.77983981585464e-19
1.811609194200413e-05,1.8323631508141454e-18
1.935255682067943e-05,6.827266923336256e-18
2.067341326686785e-05,2.4724034571925725e-17
2.208442119885748e-05,8.70219735061812e-17
2.359173366258737e-05,2.976978104056456e-16
2.5201923663512264e-05,9.8982741695203e-16
2.692201282980408e-05,3.1987510695753333e-15
2.8759502031882835e-05,1.004704935359642e-14
3.072240409180029e-05,3.067141086064865e-14
3.2819278725114703e-05,9.100517690976647e-14
3.505926986762878e-05,2.6244334807885026e-13
3.74521455497626e-05,7.356007574714914e-13
4.000834049244481e-05,2.003945440131728e-12
4.273900161027067e-05,5.305993897140172e-12
4.565603662035577e-05,1.3654780626994344e-11
4.877216596885466e-05,3.4153863439686575e-11
5.210097830158441e-05,8.3029434193671e-11
5.565698972064581e-05,1.961830363097119e-10
5.945570708544395e-05,4.5053440434465863e-10
6.351369563414993e-05,1.005614692558328e-09
6.784865122048202e-05,2.1815863431740644e-09
7.24794774808137e-05,4.599920858546317e-09
7.742636826811278e-05,9.426825885355788e-09
8.27108957121873e-05,1.877663684842498e-08
8.835610429024561e-05,3.635024623590349e-08
9.438661131798674e-05,6.83965486101044e-08
0.00010082871429943985,1.250830240952341e-07
0.00010771050560367691,2.223310023901366e-07
0.00011506199496847266,3.840955858064186e-07
0.00012291524036512244,6.449358133750393e-07
0.0001313044877950839,1.052523824234139e-06
0.00014026632062806024,1.6694991373667225e-06
0.00014983981913275018,2.573831559226411e-06
0.00016006673089593952,3.856691943335183e-06
0.0001709916528730856,5.61684639657641e-06
0.0001826622258642721,7.95088900570457e-06
0.0001951293422635962,1.0939274673509138e-05
0.00020844736798792678,1.4629087717945426e-05
0.0002226743795528098,1.9015645515029193e-05
0.0002378724173293502,2.4026127833095373e-05
0.000254107756086457,2.9509096258308353e-05
0.00027145119399821753,3.5233683799637274e-05
0.00028997836137668767,4.090117566245101e-05
0.00030977005047640735,4.6169687236610655e-05
0.0003309125678088282,5.068998792633805e-05
0.0003534981105030106,5.414779579358182e-05
0.00037762516835380505,5.6305786284156935e-05
0.00040339895331074275,5.703775781473632e-05
0.000430931858280529,5.6348239775247905e-05
0.0004603439472438616,5.4373258238789106e-05
0.0004917634788238509,5.13614994887688e-05
0.000525327465589178,4.7638924953285324e-05
0.0005611822715309863,4.3563095179081796e-05
0.0005994842503189409,3.947531598497468e-05
0.0006404004271197283,3.565884287078987e-05
0.0006841092269512329,3.230982338615828e-05
0.0007308012527485648,2.952486489510439e-05
0.0007806801165348759,2.7305772976429802e-05
0.0008339633273214905,2.5578850852881015e-05
0.0008908832396092685,2.422379635413903e-05
0.000951688066627356,2.3106053574712726e-05
0.0010166429627278075,2.2106563049214757e-05
0.0010860311796561364,2.1144040635964357e-05
0.0011601553017399715,2.0186847279646098e-05
0.001239338565382192,1.9253739726236893e-05
0.0013239262686124814,1.84048656078708e-05
0.0014142872768440312,1.7725916608103533e-05
0.0015108156314015823,1.7309154175908127e-05
0.0016139322678352026,1.7235018612552495e-05
0.0017240868515129338,1.7557336378167418e-05
0.001841759738496846,1.829399367089847e-05
0.0019674640702533777,1.9423655106057482e-05
0.0021017480113324893,2.088797546497425e-05
0.0022451971397735287,2.2598003265443698e-05
0.0023984370006618176,2.44432039432067e-05
0.002562135833971315,2.6301692000149793e-05
0.0027370074885888092,2.8050690737918805e-05
0.0029238145352269793,2.9576708934483257e-05
0.0031233715918008768,3.078522544239105e-05
0.0033365488757690354,3.160968322748361e-05
0.0035642759989299904,3.201932460589927e-05
0.003807546021222372,3.202499073000063e-05
0.0040674197812062,3.1681682197902115e-05
0.004345030522109416,3.108665293571568e-05
0.004641588833612777,3.0372216934593678e-05
0.004958387930922875,2.96932723626789e-05
0.0052968092941540045,2.921062261572947e-05
0.005658328692610854,2.9072224126078887e-05
0.006044522620242243,2.9395215830127163e-05
0.006457075170329433,3.0251750373998464e-05
0.0068977853793876585,3.1661154989966276e-05
0.007368575072305785,3.358987206520929e-05
0.007871497242934839,3.595919069895795e-05
0.008408745006670888,3.86593022995371e-05
0.008982661164072243,4.156703072512694e-05
0.009595748417215605,4.456396396750002e-05
0.010250680283341829,4.755177534373364e-05
0.010950312753383222,5.046222732485251e-05
0.011697696746212013,5.326051303045587e-05
0.012496091412919868,5.594193267356549e-05
0.013348978349145148,5.852313733273469e-05
0.014260076777423974,6.1030072166563256e-05
0.015233359765771795,6.348518771597832e-05
0.016273071553220282,6.58964377789355e-05
0.017383746057861856,6.825010303463873e-05
0.018570226648110973,7.050867877023134e-05
0.019837687263399108,7.261407907036945e-05
0.021191654976405943,7.449539588411298e-05
0.022638034095214487,7.60795826407653e-05
0.024183131910493604,7.730287981541123e-05
0.025833686199985075,7.812069550303917e-05
0.02759689461023487,7.851404146135724e-05
0.02948044604369506,7.849142694101143e-05
0.031492554188067755,7.808613559729156e-05
0.033641993334103365,7.73497965909472e-05
0.03593813663804626,7.634386705480164e-05
0.03839099699557999,7.51309190065307e-05
0.041011270705513,7.376745064760739e-05
0.04381038411361166,7.229942052208577e-05
0.04680054343998134,7.076100157593615e-05
0.04999478800728133,6.917634359458034e-05
0.05340704710188723,6.756354863391428e-05
0.057052200715958276,6.593968138444304e-05
0.06094614443529073,6.432548651346335e-05
0.0651058587559154,6.274857183518899e-05
0.06954948313171315,6.124412409280907e-05
0.0742963950759495,5.985271370694708e-05
0.07936729466167061,5.8615344278710094e-05
0.08478429478944613,5.7566508195009956e-05
0.0905710176160915,5.6726501285423035e-05
0.09675269756487344,5.609451792130558e-05
0.10335629136639743,5.5644023057878474e-05
0.11041059561003903,5.5321567128732635e-05
0.11794637231852995,5.504962378224019e-05
0.12599648309329808,5.47332948324671e-05
0.13459603241553644,5.426998562588167e-05
0.14378252072789602,5.356056524162949e-05
0.15359600796435893,5.252022865805696e-05
0.16407928824139895,5.108735508116211e-05
0.17527807647221683,4.922910231865481e-05
0.18724120771782277,4.69431850300846e-05
0.20002085014429052,4.425606863177639e-05
0.21367273251483396,4.121845844866017e-05
0.2282563872087362,3.789930832340585e-05
0.24383540982688265,3.43795520709833e-05
0.26047773651596795,3.074643902900004e-05
0.2782559402207126,2.7088893824443858e-05
0.2972475471559781,2.349391390400626e-05
0.3175353748788312,2.004381417135896e-05
0.33920789343479707,1.6814174111058536e-05
0.3623596111531805,1.387257648057625e-05
0.3870914867737988,1.1278508349398062e-05
0.4135113697023161,9.084966713418755e-06
0.44173447031400737,7.342252524785139e-06
0.4718838623568402,6.1041029606190755e-06
0.5040910196447235,5.43573665376188e-06
0.538496389381292,5.422670828012243e-06
0.5752500046143655,6.178457540816101e-06
0.6145121384918324,7.848949121353405e-06
0.6564540031719884,1.0610521253460698e-05
0.7012584964361229,1.4660024691891456e-05
0.7491209992591221,2.0195219566768794e-05
0.8002502278161052,2.7386073939642442e-05
0.8548691436404559,3.633941065949981e-05
0.9132159259022423,4.70615862605815e-05
0.9755450100468742,5.94256309710118e-05
1.0421281973232168,7.31499630899727e-05
1.1132558400395614,8.77949429777303e-05
1.1892381077160417,0.00010278102262115856
1.2704063396548382,0.00011742842687430572
1.3571144898264267,0.00013101399269364224
1.4497406703726317,0.00014283709266604052
1.5486888004572834,0.00015228452514644747
1.654390367654749,0.00015888449532752358
1.767306309557252,0.0001623423032998192
1.887929023806242,0.00016255437197291257
2.016784515312978,0.00015960161050053318
2.1544346900318825,0.00015372659411225456
2.301479805289198,0.00014530080698156407
2.458561087352163,0.00013478804983553972
2.62636352765333,0.00012270852538124872
2.805618869863624,0.00010960596071512257
2.997108800839945,9.601831340549868e-05
3.2016683593623263,8.245172095561557e-05
3.4201895775251994,6.935747641166955e-05
3.6536253706620148,5.711258166427451e-05
3.9029936927660835,4.600525919360695e-05
4.169381975528488,3.6227171347621195e-05
4.453951870350544,2.7873760756939655e-05
4.757944314009413,2.0953186516638683e-05
5.082684940067114,1.5403144586805722e-05
5.429589859620619,1.111386072366827e-05
5.8001718366013435,7.955056551660503e-06
6.196046884553079,5.804816837735828e-06
